Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
F1,11/02/2022,20:00,Paris SG,Rennes,1,0,H,0,0,D,12,13,1,1,5,3,13,10,2,1,0,0
F1,12/02/2022,16:00,Montpellier,Lille,0,1,A,0,0,D,16,16,5,7,6,4,13,15,3,4,0,0
F1,12/02/2022,20:00,Lyon,Nice,2,0,H,1,0,H,12,1,8,1,4,1,11,9,0,1,0,0
F1,13/02/2022,12:00,Monaco,Lorient,0,0,D,0,0,D,15,5,4,1,11,2,18,11,3,2,0,0
F1,13/02/2022,14:00,Angers,Strasbourg,0,1,A,0,1,A,9,8,2,2,5,3,20,11,3,1,0,0
F1,13/02/2022,14:00,Brest,Troyes,5,1,H,2,1,H,12,5,5,2,1,5,13,11,1,1,0,0
F1,13/02/2022,14:00,Clermont,St Etienne,1,2,A,1,0,H,9,6,3,3,6,3,16,10,4,1,0,0
F1,13/02/2022,14:00,Nantes,Reims,1,0,H,1,0,H,11,7,3,4,5,5,17,8,1,0,0,1
F1,13/02/2022,16:05,Lens,Bordeaux,3,2,H,3,1,H,9,10,7,4,6,2,9,7,3,2,0,0
F1,13/02/2022,19:45,Metz,Marseille,1,2,A,0,1,A,11,13,4,5,3,8,11,6,2,2,0,0
F1,18/02/2022,20:00,Lille,Metz,0,0,D,0,0,D,13,7,1,0,11,1,10,13,4,4,1,1
F1,19/02/2022,16:00,Lens,Lyon,1,1,D,1,1,D,12,10,6,2,4,4,8,10,0,2,0,0
F1,19/02/2022,20:00,Nantes,Paris SG,3,1,H,3,0,H,13,16,7,9,5,7,16,10,2,6,0,0
F1,20/02/2022,12:00,Nice,Angers,1,0,H,1,0,H,9,11,5,2,4,5,11,17,2,2,0,0
F1,20/02/2022,14:00,Lorient,Montpellier,0,1,A,0,0,D,16,6,3,5,8,5,15,9,2,2,0,0
F1,20/02/2022,14:00,Reims,Brest,1,1,D,1,1,D,8,15,2,4,1,6,10,17,1,2,0,0
F1,20/02/2022,14:00,Rennes,Troyes,4,1,H,2,1,H,17,4,8,1,6,7,11,16,1,4,0,0
F1,20/02/2022,14:00,St Etienne,Strasbourg,2,2,D,2,2,D,9,8,4,4,3,4,12,5,3,2,0,0
F1,20/02/2022,16:05,Bordeaux,Monaco,1,1,D,1,0,H,11,13,3,4,2,7,13,13,3,4,0,1
F1,20/02/2022,19:45,Marseille,Clermont,0,2,A,0,1,A,18,4,4,3,8,3,11,9,2,2,0,0
F1,25/02/2022,20:00,Montpellier,Rennes,2,4,A,2,2,D,12,11,5,9,7,1,11,11,3,2,0,0
F1,26/02/2022,16:00,Strasbourg,Nice,0,0,D,0,0,D,17,3,6,0,8,2,9,12,1,2,0,1
F1,26/02/2022,20:00,Paris SG,St Etienne,3,1,H,1,1,D,21,13,8,6,8,3,9,13,2,1,0,0
F1,27/02/2022,12:00,Monaco,Reims,1,2,A,0,0,D,18,12,5,7,10,3,15,12,3,2,1,0
F1,27/02/2022,14:00,Angers,Lens,1,2,A,0,0,D,13,8,4,2,7,3,13,16,4,3,1,0
F1,27/02/2022,14:00,Brest,Lorient,0,1,A,0,0,D,4,17,0,8,4,6,12,15,2,4,1,0
F1,27/02/2022,14:00,Clermont,Bordeaux,1,1,D,1,1,D,9,10,3,3,6,6,5,13,1,2,0,0
F1,27/02/2022,14:00,Metz,Nantes,0,0,D,0,0,D,8,12,0,3,3,4,14,15,1,2,1,0
F1,27/02/2022,16:05,Troyes,Marseille,1,1,D,0,1,A,9,8,3,3,4,8,15,8,5,3,0,0
F1,27/02/2022,19:45,Lyon,Lille,0,1,A,0,1,A,20,6,8,2,7,3,13,15,3,2,0,0
F1,04/03/2022,20:00,Lorient,Lyon,1,4,A,0,2,A,15,15,6,7,8,3,9,14,1,0,0,0
F1,05/03/2022,16:00,Lens,Brest,0,1,A,0,0,D,20,5,6,3,4,0,14,11,1,1,0,0
F1,05/03/2022,20:00,Nice,Paris SG,1,0,H,0,0,D,11,8,6,2,3,4,15,10,1,0,0,0
F1,06/03/2022,12:00,St Etienne,Metz,1,0,H,0,0,D,13,5,5,2,12,3,11,18,3,4,0,0
F1,06/03/2022,14:00,Bordeaux,Troyes,0,2,A,0,1,A,10,10,3,2,6,2,18,15,6,1,0,1
F1,06/03/2022,14:00,Nantes,Montpellier,2,0,H,0,0,D,16,6,5,1,6,4,11,11,1,1,0,0
F1,06/03/2022,14:00,Reims,Strasbourg,1,1,D,0,0,D,8,17,1,6,2,4,6,11,0,2,0,0
F1,06/03/2022,14:00,Rennes,Angers,2,0,H,1,0,H,15,7,4,2,7,7,11,7,1,1,0,0
F1,06/03/2022,16:05,Lille,Clermont,4,0,H,1,0,H,15,9,8,1,3,2,15,9,1,3,0,1
F1,06/03/2022,19:45,Marseille,Monaco,0,1,A,0,0,D,13,5,2,3,10,3,13,9,2,1,0,0
F1,11/03/2022,20:00,Lille,St Etienne,0,0,D,0,0,D,10,11,2,3,2,3,14,12,1,1,0,0
F1,12/03/2022,16:00,Montpellier,Nice,0,0,D,0,0,D,24,8,7,0,13,1,10,8,3,2,0,1
F1,12/03/2022,20:00,Troyes,Nantes,1,0,H,1,0,H,11,6,2,1,8,4,7,16,1,1,0,0
F1,13/03/2022,12:00,Paris SG,Bordeaux,3,0,H,1,0,H,12,15,5,5,2,4,4,9,1,2,0,0
F1,13/03/2022,14:00,Angers,Reims,0,1,A,0,1,A,20,10,7,3,4,2,19,8,6,3,1,1
F1,13/03/2022,14:00,Clermont,Lorient,0,2,A,0,0,D,10,9,1,6,2,2,14,14,1,2,0,0
F1,13/03/2022,14:00,Metz,Lens,0,0,D,0,0,D,6,11,3,0,5,4,11,14,5,2,0,0
F1,13/03/2022,14:00,Strasbourg,Monaco,1,0,H,1,0,H,11,5,3,0,6,7,10,13,1,2,0,0
F1,13/03/2022,16:05,Lyon,Rennes,2,4,A,0,3,A,11,10,2,7,8,2,8,12,2,3,0,0
F1,13/03/2022,19:45,Brest,Marseille,1,4,A,0,1,A,8,13,2,7,1,3,11,14,1,4,0,0
F1,18/03/2022,20:00,St Etienne,Troyes,1,1,D,0,1,A,10,8,3,4,1,4,13,9,2,2,0,0
F1,19/03/2022,16:00,Lens,Clermont,3,1,H,2,1,H,20,10,7,3,7,2,15,12,1,1,0,0
F1,19/03/2022,20:00,Nantes,Lille,0,1,A,0,1,A,11,12,3,4,7,7,19,15,3,4,0,1
F1,20/03/2022,12:00,Monaco,Paris SG,3,0,H,1,0,H,13,13,8,6,6,7,17,10,3,3,0,0
F1,20/03/2022,14:00,Angers,Brest,1,0,H,1,0,H,9,16,3,2,6,11,11,9,2,1,0,0
F1,20/03/2022,14:00,Bordeaux,Montpellier,0,2,A,0,2,A,32,7,10,2,11,4,18,7,3,0,0,2
F1,20/03/2022,14:00,Lorient,Strasbourg,0,0,D,0,0,D,9,13,2,4,6,5,11,18,2,2,0,0
F1,20/03/2022,14:00,Rennes,Metz,6,1,H,3,0,H,21,2,8,1,10,1,13,11,1,2,0,0
F1,20/03/2022,16:05,Reims,Lyon,0,0,D,0,0,D,5,10,2,2,7,3,12,13,0,3,0,0
F1,20/03/2022,19:45,Marseille,Nice,2,1,H,1,0,H,13,9,6,3,3,2,12,11,2,2,0,0
F1,02/04/2022,16:00,Nice,Rennes,1,1,D,0,0,D,10,13,3,4,7,11,12,12,2,1,0,0
F1,02/04/2022,18:00,Lille,Bordeaux,0,0,D,0,0,D,22,2,6,0,7,2,13,15,2,4,0,1
F1,03/04/2022,12:00,Strasbourg,Lens,1,0,H,0,0,D,13,13,3,2,2,6,8,10,3,1,0,0
F1,03/04/2022,14:00,Clermont,Nantes,2,3,A,0,1,A,12,9,4,4,5,6,10,10,5,1,1,0
F1,03/04/2022,14:00,Metz,Monaco,1,2,A,0,0,D,17,14,4,4,3,6,6,9,0,0,0,0
F1,03/04/2022,14:00,Montpellier,Brest,1,2,A,0,0,D,9,12,3,6,7,5,16,14,2,4,0,0
F1,03/04/2022,14:00,St Etienne,Marseille,2,4,A,1,1,D,5,15,2,9,2,9,14,12,2,1,0,0
F1,03/04/2022,14:00,Troyes,Reims,1,0,H,0,0,D,19,10,5,4,6,3,15,11,1,4,0,1
F1,03/04/2022,16:05,Lyon,Angers,3,2,H,1,0,H,15,7,5,4,9,2,4,13,1,1,0,0
F1,03/04/2022,19:45,Paris SG,Lorient,5,1,H,2,0,H,15,11,7,4,3,1,7,14,2,1,0,0
F1,08/04/2022,20:00,Lorient,St Etienne,6,2,H,2,2,D,18,13,12,4,2,3,18,18,2,5,0,1
F1,09/04/2022,16:00,Reims,Rennes,2,3,A,0,2,A,15,14,7,8,2,6,15,7,2,0,0,0
F1,09/04/2022,20:00,Clermont,Paris SG,1,6,A,1,2,A,10,17,4,10,2,5,8,7,1,1,0,0
F1,10/04/2022,12:00,Bordeaux,Metz,3,1,H,0,1,A,12,9,7,2,5,6,15,15,3,2,0,0
F1,10/04/2022,14:00,Angers,Lille,1,1,D,0,0,D,13,17,3,3,6,7,10,12,3,2,0,0
F1,10/04/2022,14:00,Brest,Nantes,1,1,D,0,1,A,12,12,6,5,4,5,10,13,1,3,0,0
F1,10/04/2022,14:00,Monaco,Troyes,2,1,H,1,1,D,11,8,3,1,10,1,12,9,2,2,0,0
F1,10/04/2022,16:05,Lens,Nice,3,0,H,0,0,D,6,16,3,6,1,7,8,15,2,4,1,2
F1,10/04/2022,18:00,Strasbourg,Lyon,1,1,D,1,0,H,15,13,4,3,5,3,19,14,3,1,0,0
F1,10/04/2022,20:00,Marseille,Montpellier,2,0,H,2,0,H,11,6,5,2,0,8,12,13,0,2,0,1
F1,15/04/2022,20:00,Rennes,Monaco,2,3,A,1,1,D,13,12,4,4,6,0,7,15,1,3,0,0
F1,16/04/2022,16:00,St Etienne,Brest,2,1,H,2,1,H,11,7,4,3,7,3,10,10,0,2,0,0
F1,16/04/2022,20:00,Lille,Lens,1,2,A,1,2,A,17,11,5,7,13,7,12,9,3,2,0,0
F1,17/04/2022,12:00,Nice,Lorient,2,1,H,0,0,D,15,6,2,1,5,1,10,12,2,1,0,0
F1,17/04/2022,14:00,Metz,Clermont,1,1,D,1,1,D,4,26,2,4,0,9,15,11,1,1,1,0
F1,17/04/2022,14:00,Montpellier,Reims,0,0,D,0,0,D,14,15,3,9,9,6,9,12,0,3,0,0
F1,17/04/2022,14:00,Nantes,Angers,1,1,D,0,1,A,24,10,7,3,14,5,12,10,4,1,0,0
F1,17/04/2022,14:00,Troyes,Strasbourg,1,1,D,0,0,D,11,12,3,4,5,9,12,19,1,2,0,0
F1,17/04/2022,16:05,Lyon,Bordeaux,6,1,H,3,0,H,15,17,9,5,3,5,8,13,0,0,0,0
F1,17/04/2022,19:45,Paris SG,Marseille,2,1,H,2,1,H,7,3,3,1,3,4,16,12,6,1,0,0
F1,20/04/2022,18:00,Bordeaux,St Etienne,2,2,D,2,1,H,11,9,7,2,5,4,17,18,5,6,0,0
F1,20/04/2022,18:00,Lorient,Metz,1,0,H,0,0,D,15,20,5,5,10,12,13,17,2,2,0,0
F1,20/04/2022,18:00,Monaco,Nice,1,0,H,1,0,H,17,15,7,2,7,10,19,11,5,2,0,0
F1,20/04/2022,18:00,Reims,Lille,2,1,H,1,0,H,10,20,4,5,5,2,13,8,1,1,0,0
F1,20/04/2022,18:00,Troyes,Clermont,0,1,A,0,0,D,16,3,3,1,5,2,11,15,3,6,1,1
F1,20/04/2022,20:00,Angers,Paris SG,0,3,A,0,2,A,8,15,1,8,3,7,5,10,1,2,0,1
F1,20/04/2022,20:00,Brest,Lyon,2,1,H,1,0,H,9,18,3,5,2,2,15,12,2,2,0,0
F1,20/04/2022,20:00,Lens,Montpellier,2,0,H,1,0,H,12,9,5,4,5,3,11,10,1,0,0,0
F1,20/04/2022,20:00,Marseille,Nantes,3,2,H,1,2,A,19,4,5,3,7,3,10,15,2,5,0,1
F1,20/04/2022,20:00,Strasbourg,Rennes,2,1,H,1,0,H,13,10,5,3,2,7,16,11,1,2,0,0
F1,23/04/2022,16:00,Lyon,Montpellier,5,2,H,2,2,D,27,11,13,7,8,2,13,10,2,2,0,0
F1,23/04/2022,18:00,St Etienne,Monaco,1,4,A,1,2,A,8,12,4,6,1,1,11,19,2,3,0,0
F1,23/04/2022,20:00,Paris SG,Lens,1,1,D,0,0,D,18,8,7,3,4,3,17,12,4,2,0,1
F1,24/04/2022,12:00,Rennes,Lorient,5,0,H,2,0,H,10,12,7,2,2,4,10,10,1,0,1,0
F1,24/04/2022,14:00,Clermont,Angers,2,2,D,0,2,A,12,9,6,5,4,4,10,21,0,6,0,1
F1,24/04/2022,14:00,Metz,Brest,0,1,A,0,1,A,10,16,0,3,4,7,16,17,4,0,2,0
F1,24/04/2022,14:00,Nantes,Bordeaux,5,3,H,0,2,A,15,20,6,7,6,4,12,15,1,1,0,0
F1,24/04/2022,14:00,Nice,Troyes,1,0,H,0,0,D,18,9,3,3,7,3,18,11,0,1,0,0
F1,24/04/2022,16:05,Lille,Strasbourg,1,0,H,0,0,D,11,11,3,3,4,6,18,18,2,3,0,0
F1,24/04/2022,19:45,Reims,Marseille,0,1,A,0,0,D,10,14,3,3,3,4,14,7,1,1,0,0
F1,29/04/2022,20:00,Strasbourg,Paris SG,3,3,D,1,1,D,14,14,2,6,2,5,15,6,3,3,0,0
F1,30/04/2022,16:00,Lens,Nantes,2,2,D,0,2,A,20,13,5,5,6,5,7,11,0,5,1,0
F1,30/04/2022,20:00,Rennes,St Etienne,2,0,H,1,0,H,13,8,3,3,4,3,11,15,1,4,0,0
F1,01/05/2022,12:00,Troyes,Lille,3,0,H,1,0,H,9,10,5,1,1,4,9,13,0,4,0,2
F1,01/05/2022,14:00,Brest,Clermont,2,0,H,0,0,D,8,16,4,7,5,13,7,16,2,2,1,0
F1,01/05/2022,14:00,Lorient,Reims,1,2,A,1,1,D,20,12,8,2,7,3,15,13,2,1,0,0
F1,01/05/2022,14:00,Monaco,Angers,2,0,H,1,0,H,15,11,7,5,8,5,14,12,2,2,0,0
F1,01/05/2022,14:00,Montpellier,Metz,2,2,D,0,1,A,18,17,6,5,8,1,9,15,2,3,0,0
F1,01/05/2022,16:05,Bordeaux,Nice,0,1,A,0,0,D,5,14,1,3,2,5,10,12,1,2,0,0
F1,01/05/2022,19:45,Marseille,Lyon,0,3,A,0,0,D,9,12,2,5,3,6,5,13,2,1,0,0
F1,06/05/2022,20:00,Lille,Monaco,1,2,A,0,1,A,15,9,5,3,3,5,10,8,4,1,0,0
F1,07/05/2022,16:00,Brest,Strasbourg,0,1,A,0,0,D,7,14,2,5,5,5,5,15,1,2,0,0
F1,08/05/2022,12:00,Metz,Lyon,3,2,H,2,1,H,15,17,8,5,3,7,19,8,3,2,0,1
F1,08/05/2022,14:00,Angers,Bordeaux,4,1,H,2,0,H,13,7,8,3,6,3,14,18,1,5,0,0
F1,08/05/2022,14:00,Clermont,Montpellier,2,1,H,1,1,D,12,10,4,2,5,3,10,15,2,4,0,0
F1,08/05/2022,14:00,Reims,Lens,1,2,A,1,0,H,7,21,2,5,3,10,12,9,1,2,0,0
F1,08/05/2022,16:05,Lorient,Marseille,0,3,A,0,1,A,7,9,0,6,4,8,22,10,1,1,0,0
F1,08/05/2022,19:45,Paris SG,Troyes,2,2,D,2,1,H,17,9,7,3,7,4,10,19,1,2,0,0
F1,11/05/2022,18:00,Nice,St Etienne,4,2,H,0,2,A,14,12,7,6,2,2,10,13,2,3,0,0
F1,11/05/2022,20:00,Nantes,Rennes,2,1,H,1,1,D,9,17,3,5,5,5,13,9,2,1,0,0
F1,14/05/2022,20:00,Bordeaux,Lorient,0,0,D,0,0,D,14,13,1,2,3,1,10,11,4,4,1,0
F1,14/05/2022,20:00,Lyon,Nantes,3,2,H,1,0,H,17,17,6,6,5,6,12,10,1,0,0,0
F1,14/05/2022,20:00,Metz,Angers,1,0,H,0,0,D,7,11,2,4,1,4,18,17,3,1,0,0
F1,14/05/2022,20:00,Monaco,Brest,4,2,H,1,2,A,25,10,9,5,10,5,10,12,2,1,0,0
F1,14/05/2022,20:00,Montpellier,Paris SG,0,4,A,0,3,A,10,15,3,9,0,2,9,7,2,4,0,0
F1,14/05/2022,20:00,Nice,Lille,1,3,A,1,0,H,16,9,6,5,10,3,11,9,2,3,0,0
F1,14/05/2022,20:00,Rennes,Marseille,2,0,H,2,0,H,12,8,4,0,6,1,14,8,1,2,0,0
F1,14/05/2022,20:00,St Etienne,Reims,1,2,A,1,1,D,16,17,7,7,3,2,8,9,1,0,0,0
F1,14/05/2022,20:00,Strasbourg,Clermont,1,0,H,1,0,H,11,11,6,3,3,2,13,9,1,2,0,0
F1,14/05/2022,20:00,Troyes,Lens,1,3,A,1,2,A,6,15,2,9,5,7,9,9,1,2,0,0
F1,21/05/2022,20:00,Angers,Montpellier,2,0,H,1,0,H,19,14,3,1,4,3,17,12,1,4,0,0
F1,21/05/2022,20:00,Brest,Bordeaux,2,4,A,2,2,D,11,15,7,7,10,1,10,12,1,0,0,0
F1,21/05/2022,20:00,Clermont,Lyon,1,2,A,0,1,A,18,21,3,5,10,4,10,15,2,2,0,0
F1,21/05/2022,20:00,Lens,Monaco,2,2,D,1,1,D,28,12,10,5,10,8,5,7,2,3,0,0
F1,21/05/2022,20:00,Lille,Rennes,2,2,D,1,1,D,13,13,4,3,7,4,12,0,2,2,0,0
F1,21/05/2022,20:00,Lorient,Troyes,1,1,D,0,1,A,17,8,6,3,6,4,18,10,2,2,0,1
F1,21/05/2022,20:00,Marseille,Strasbourg,4,0,H,1,0,H,17,10,11,4,7,3,11,16,2,1,0,0
F1,21/05/2022,20:00,Nantes,St Etienne,1,1,D,1,0,H,12,13,5,3,5,5,8,9,2,0,0,0
F1,21/05/2022,20:00,Paris SG,Metz,5,0,H,3,0,H,27,4,12,1,4,2,7,12,1,2,0,1
F1,21/05/2022,20:00,Reims,Nice,2,3,A,2,0,H,5,17,4,6,2,7,8,14,0,2,0,0
